Category,Question,Answer
Food and Culinary Practices,What is the local name for horse gram (kulthi dal) in Chattisgarh?,Hirwa Dal.
Food and Culinary Practices,What are the other names by which horse gram is known in India?,"It is also known as ""gahat"" or ""hurali""."
Food and Culinary Practices,Why is horse gram considered a superfood?,"It is rich in protein, minerals, and vitamins, and has reputed medicinal properties and culinary uses."
Food and Culinary Practices,In which season is horse gram especially consumed and why?,It is especially consumed in winter to provide warmth.
Food and Culinary Practices,"What is the name of the variety of red beans similar to Rajma (Kidney Beans) primarily found in Dibang Valley, Arunachal Pradesh?",Andoye.
Food and Culinary Practices,What is the local name for eggplants in Arunachal Pradesh?,Seteka.
Food and Culinary Practices,What do local eggplants (Seteka) of Arunachal Pradesh look like?,"They are green in colour, small and round."
Trees and Herbs,What is the name of the fruit that locals believe Lord Shri Ram sustained on during his exile?,Ram Kand Mool.
Trees and Herbs,In what type of forest does Ram Kand Mool commonly grow?,It is most commonly grown in moist forests.
Trees and Herbs,What is the taste and texture of Ram Kand Mool?,It has a peculiarly sweet taste and a watery texture.
Trees and Herbs,How does the size of Ram Kand Mool indicate its maturity?,"The larger its size, the more mature it is."
Trees and Herbs,What is the name of the climber plant that locals believe prevents snakes from entering homes?,Garud Phali.
Trees and Herbs,What mythological creature does the Garud Phali plant resemble?,"It resembles the eagle-like mythical creature in Hinduism, Garuda."
Trees and Herbs,What leaves resemble coriander leaves and are of great medicinal value in India?,Brahmi leaves.
Trees and Herbs,Where are Brahmi leaves nurtured?,They are nurtured near holy rivers of India.
Trees and Herbs,What additional ecological benefit do Brahmi leaves provide beyond medicinal value?,They act as river water purifiers.
Trees and Herbs,What is the local name for the ginger lily plant found in Amarkantak?,Gulbakawali plant.
Trees and Herbs,What is the name of the monsoon plant commonly harvested in Rajasthan?,Kakoda / Khekhsa
Trees and Herbs,What are the leaves used in Nagaland delicacies called?,Tekup leaves.
Trees and Herbs,What are the taste characteristics of Tekup leaves?,"They are citrusy, numbing, and peppery in taste."
Trees and Herbs,In what types of dishes are Tekup leaves used in Naga cuisine?,"They are used for flavoring meat dishes, chutneys, and stews."
Trees and Herbs,What is Bhut Jolokia or Ghost pepper commonly called?,King Chilli.
Trees and Herbs,Where is King Chilli (Bhut Jolokia) indigenous to?,It is indigenous to Nagaland and other parts of North East India.
Trees and Herbs,What was the previous world ranking of Bhut Jolokia (King Chilli) in terms of heat?,It was previously ranked as the world's hottest chilli.
Trees and Herbs,What does King Chilli (Bhut Jolokia) look like?,"It has a reddish, wrinkled, and thin-skinned appearance."
Trees and Herbs,How is King Chilli (Bhut Jolokia) used in cooking?,It is used in chutneys and pickles and to spice up pork or fish curries.
Trees and Herbs,What is the name of the special flower used in the worship of gods and goddesses in Himachal Pradesh?,Kuja.
Trees and Herbs,What is Kuja the local name for?,It is the local name for Himalayan Musk Rose.
Trees and Herbs,What is the name of a medicinal plant of Himachal Pradesh also called the Himalayan Yew?,Rakhal.
Trees and Herbs,What is Rakhal (Himalayan Yew) valuable for medicinally?,It is valuable as an anti-cancer medicine.
Trees and Herbs,What are the other uses of Rakhal (Himalayan Yew)?,It is also used in making herbal teas and is consumed a lot in winters.
Trees and Herbs,What is Hisar Berry?,Hisar Berry is a plant/herb found in India.
Trees and Herbs,What is Triphala?,Triphala is a traditional Indian herbal preparation.
Trees and Herbs,What colour is the inner bark of the kattha tree?,The kattha tree's inner bark is red in color.
Trees and Herbs,What is the process of extracting Paan Kattha?,"The inner bark is extracted and boiled in water until it attains a syrupy consistency, then boiled further to thicken it, and then sun-dried."
